order,dam,sire
81,F3-03,M3-88
82,F3-03,M3-88
70,F3-04,M3-89
92,F3-04,M3-89
18,F3-07,M3-46
25,F3-07,M3-46
32,F3-07,M3-46
51,F3-08,M3-28
91,F3-11,M3-30
33,F3-12,M3-31
48,F3-12,M3-31
53,F3-12,M3-31
29,F3-15,M3-34
41,F3-15,M3-34
46,F3-15,M3-34
15,F3-16,M3-33
27,F3-16,M3-33
35,F3-16,M3-33
45,F3-19,M3-49
58,F3-19,M3-49
93,F3-19,M3-49
30,F3-20,M3-39
38,F3-20,M3-39
100,F3-20,M3-39
79,F3-21,M3-39
86,F3-21,M3-39
3,F3-24,M3-42
94,F3-24,M3-42
98,F3-24,M3-42
4,F3-25,M3-42
99,F3-25,M3-42
8,F3-28,M3-47
78,F3-28,M3-47
21,F3-29,M3-47
54,F3-29,M3-47
90,F3-29,M3-47
12,F3-33,M3-50
26,F3-33,M3-50
37,F3-33,M3-50
28,F3-36,M3-55
61,F3-36,M3-55
67,F3-36,M3-55
47,F3-37,M3-55
72,F3-37,M3-55
84,F3-37,M3-55
97,F3-38,M3-56
20,F3-40,M3-53
66,F3-40,M3-53
88,F3-40,M3-53
14,F3-43,M3-96
43,F3-43,M3-96
60,F3-43,M3-96
7,F3-44,M3-03
55,F3-44,M3-03
65,F3-44,M3-03
31,F3-47,M3-06
50,F3-47,M3-06
69,F3-47,M3-06
22,F3-48,M3-09
56,F3-48,M3-09
74,F3-48,M3-09
24,F3-51,M3-16
42,F3-51,M3-16
62,F3-51,M3-16
11,F3-52,M3-17
23,F3-52,M3-17
40,F3-52,M3-17
76,F3-55,M3-66
83,F3-55,M3-66
89,F3-55,M3-66
59,F3-56,M3-74
63,F3-56,M3-74
77,F3-56,M3-74
10,F3-59,M3-81
13,F3-59,M3-81
36,F3-59,M3-81
71,F3-60,M3-84
87,F3-60,M3-84
5,F3-65,M3-15
9,F3-65,M3-15
16,F3-65,M3-15
44,F3-66,M3-15
49,F3-66,M3-15
95,F3-66,M3-15
1,F3-69,M3-69
2,F3-69,M3-69
6,F3-69,M3-69
52,F3-70,M3-69
80,F3-70,M3-69
96,F3-70,M3-69
34,F3-73,M3-70
64,F3-73,M3-70
68,F3-73,M3-70
17,F3-74,M3-70
39,F3-74,M3-70
57,F3-74,M3-70
19,F3-77,M3-78
75,F3-77,M3-78
85,F3-77,M3-78
73,F3-78,M3-78
